ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.550887531147901149e-02,7.902962911482204200e-01,1.201451564008183981e+00,1.205071354516906057e+00,1.203130627051666623e+00,1.203147912400712061e+00,1.193325661817271843e+00,1.200334572831937452e+00
3.552258438141159963e-02,7.896245467215236014e-01,1.203022742631762343e+00,1.205106521261515740e+00,1.202200794482325863e+00,1.203042412166883013e+00,1.193086051116710955e+00,1.203127646819072583e+00
3.554106182349465320e-02,7.903469551023191153e-01,1.203010821701386179e+00,1.205060625679567510e+00,1.201959395642208550e+00,1.202798033094171659e+00,1.192947768324347457e+00,1.202718758907170171e+00
3.551602786970470965e-02,7.896179902098167114e-01,1.203123474493440925e+00,1.205133343354862108e+00,1.200334572831937452e+00,1.202636504487574642e+00,1.193791770194979840e+00,1.202998900771010016e+00
3.551304763711066875e-02,7.903129804507470491e-01,1.203130031005147815e+00,1.204972410794783899e+00,1.203100228679207406e+00,1.202864194257759367e+00,1.192903064835436844e+00,1.203141951935523979e+00
3.552914089311848961e-02,7.895881878838763024e-01,1.202988767980190277e+00,1.204989696143829336e+00,1.203051352864665136e+00,1.203038239841251356e+00,1.191046379929349364e+00,1.203023338678281151e+00
3.550410693932854606e-02,7.900334346334260127e-01,1.203107977283951913e+00,1.205029035214070676e+00,1.203025722864356384e+00,1.203004861236198098e+00,1.192692660414297556e+00,1.203091884027944092e+00
3.554046577697584502e-02,7.892240034608845045e-01,1.203085923562756010e+00,1.204846048932796565e+00,1.203016782166574261e+00,1.203134799377298281e+00,1.192346357386870004e+00,1.174320122518553999e+00
3.551900810229875055e-02,7.897819030024889608e-01,1.202970290538107223e+00,1.204130793110226749e+00,1.203003073096641673e+00,1.202961945886843909e+00,1.189999722242322200e+00,1.186262510569394912e+00
3.551245159059186057e-02,7.895220267202885944e-01,1.201943898432719537e+00,1.205106521261515740e+00,1.202044630294398120e+00,1.203150296586787293e+00,1.189409636188702102e+00,1.192916773905369432e+00
