ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.610773516985597009e-01,2.000847288307494587e-02,1.092035760350817952e-02,2.096508780932748728e-02,2.947181230213757885e-03,2.113135907626428889e-02,3.061245834415005085e-02
3.538101141226424051e-01,3.641405726675128740e-02,3.781955833247430121e-02,5.912040966431431066e-02,9.587700434696699858e-04,5.332144737101884857e-02,4.014681845900613943e-02
2.660675366005349485e-01,9.194230259413016526e-03,9.210812039821547614e-04,8.983349468546264482e-02,5.019576540176373669e-03,5.916627953445185994e-02,4.445623478998883549e-02
1.699941360943479918e-01,3.838339496489351355e-02,2.884705270318299597e-02,1.149918188407972330e-02,6.883589312289339901e-02,3.426393281586115336e-03,7.638441323207123546e-03
2.378149316090263365e-01,9.311055377099419772e-03,3.308375135887153817e-02,8.419500681452918300e-03,3.870812578321514152e-02,1.053245987881723522e-02,4.713725203158847243e-02
3.161745448320558705e-01,1.749315657370442700e-02,3.822248577918863077e-02,1.983390371362192539e-03,4.797847235179286685e-03,4.125031327211559073e-02,3.938626310100601380e-02
5.714488710700060814e-02,4.606285831321810242e-02,1.421373200159514738e-02,4.520322833660750383e-02,4.177895744811488399e-02,5.861918830305512529e-04,3.525446863262726716e-02
2.334432880214791783e-01,4.803934856958602673e-02,2.991278387881202150e-02,2.213384387265482367e-02,1.520720363964578326e-02,6.580504566093736685e-02,2.092431822744100778e-02
2.131207243348021141e-01,1.671471982014094415e-02,2.097289952487990661e-02,2.659176694687626075e-02,1.440438741474459050e-02,2.385886794633051977e-02,2.879395547682905843e-03
2.173357268972073708e-01,1.284876209915108980e-02,9.835552939277292239e-03,3.085400444281893861e-02,1.088077076496496431e-04,8.460435286414735856e-02,3.577660538310367677e-02
2.067919023980977489e-01,2.504148968789121632e-02,2.791960431991746816e-02,9.714113720304284882e-03,3.259930344788308787e-02,4.522713564560376653e-02,6.885957136303333392e-02
1.223449852877849242e-01,3.704944285580080710e-02,5.162548231821162403e-03,3.079151071840002807e-02,6.874714062752440569e-02,2.800973590331068408e-02,4.339765617258461994e-02
2.307725227799983791e-02,6.059208825568629386e-02,2.944309922199117580e-02,5.516674194500503781e-02,4.122409657503789404e-02,9.058397101370019300e-03,4.774998785292194903e-02
1.901965368028337711e-01,6.878772788929876647e-02,1.340310873601602282e-02,7.812406966341955972e-02,2.634850516920828056e-02,8.217009888133475215e-02,7.794570449574389492e-02
7.822943666332116130e-02,1.946368636488426951e-02,3.322203415123503589e-02,4.643823672357760834e-02,1.840201298045762712e-02,2.920421312700227645e-02,6.681393971048321667e-02
6.415200998210868200e-02,2.103605708150024789e-02,2.808888153125899123e-02,6.279852157182364003e-02,4.184994541978648286e-02,2.788456613436096632e-02,4.125427289095040528e-02
2.085490475355442630e-01,3.953614893226853333e-02,5.200226786584316585e-02,7.842566920193738689e-02,2.432140939467508645e-02,3.093036384547076523e-02,5.338858792084733018e-02
1.435868911250699487e-01,4.163780895758617540e-02,1.004536131389777154e-02,3.485586077009705797e-02,5.816308415711413105e-02,1.701506181737499901e-02,3.866862309236052120e-02
2.145838993291815378e-02,1.563349143502290595e-02,9.489845958368547940e-03,8.612539813190145388e-02,1.264181942269537728e-02,4.442247284521272377e-02,7.299375001748686920e-02
2.944040649418933064e-02,2.049484684242242061e-02,2.917130200941464580e-02,1.428629540602677217e-02,2.088102888811427249e-02,1.154693105382875729e-02,8.707594507084848168e-02
8.530546251600568119e-02,2.954564259759950851e-02,3.464923598510694092e-04,5.933906757666140841e-02,6.416473499092711918e-02,4.145416118154798824e-02,6.110262196726323758e-02
7.871819480874564512e-02,3.626742982312447516e-02,5.414088277532691507e-02,3.217841980761071419e-02,1.073750923103666821e-02,5.582841902912605292e-02,1.202840808197283007e-01
