ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.081200251722366446e+00,1.982359186692141009e+02,3.077380380318210200e+02,3.079002699733102304e+02,3.077988586186002067e+02,3.079578951547021006e+02,3.077755537957613114e+02,3.070279773507090795e+02
9.081433305911220444e+00,1.982866845472674981e+02,3.077376082822809167e+02,3.078681043229227612e+02,3.077968809362507727e+02,3.079564151711958857e+02,3.077868768914790962e+02,3.070584365199132435e+02
9.081464300330196693e+00,1.982309154547352250e+02,3.077065667756279481e+02,3.079030803326463683e+02,3.078063109882248796e+02,3.079538164083738820e+02,3.077878281817231141e+02,3.070319970884319218e+02
9.080952892417061051e+00,1.982500402033376758e+02,3.077368817015745321e+02,3.078879175052544497e+02,3.078156015653135000e+02,3.079431829384783441e+02,3.077710071529158995e+02,3.070478084144363606e+02
9.080964813347437214e+00,1.982284913335432179e+02,3.077067360528392896e+02,3.078941205613756438e+02,3.078300646340923663e+02,3.079427305391706113e+02,3.077660093028556503e+02,3.070462026651147198e+02
9.081064353116078181e+00,1.982333252708107523e+02,3.077263424070289375e+02,3.078822473147209848e+02,3.078165182848593986e+02,3.079471573766657002e+02,3.077811393476890771e+02,3.071111693514787362e+02
9.081824312427558610e+00,1.982619188144110183e+02,3.077451148921388153e+02,3.079020241382150971e+02,3.078094765912862272e+02,3.079216143991487797e+02,3.077795967792983447e+02,3.071063455470020358e+02
9.082434068016299378e+00,1.982310722149696289e+02,3.077150073903807765e+02,3.079036883000956095e+02,3.077963599915933628e+02,3.079459754164189462e+02,3.077800551390713508e+02,3.070649000483632562e+02
9.081056604511333674e+00,1.982859806163287715e+02,3.077442696981751169e+02,3.079082319627084416e+02,3.078064486749707385e+02,3.079420403173018030e+02,3.077977756020755464e+02,3.071185847662192145e+02
9.081539402191568300e+00,1.982916883577929070e+02,3.077616545869892093e+02,3.079125538960163340e+02,3.078253868610127597e+02,3.079288444434218945e+02,3.077908936489693588e+02,3.071420111825479466e+02
9.081538210098530683e+00,1.982674107870353168e+02,3.077279368314667636e+02,3.079209802056527678e+02,3.078231451300555364e+02,3.079419252803236304e+02,3.078022560837574133e+02,3.071252420097878257e+02
9.081460128004566812e+00,1.982745246022373067e+02,3.077391484664855739e+02,3.079224464800889791e+02,3.078336480657634411e+02,3.079504928529850076e+02,3.077936408273745883e+02,3.071444460325772638e+02
9.081483373818800331e+00,1.982660094816695846e+02,3.077133801833844018e+02,3.079157010216356412e+02,3.078014871837481223e+02,3.079619160845179522e+02,3.078291818891980256e+02,3.071367635889963594e+02
9.080998787999009281e+00,1.982726315584935719e+02,3.077282443914704118e+02,3.079254821450092550e+02,3.078252044707780328e+02,3.079470846589904909e+02,3.078125122562065599e+02,3.071728553978032323e+02
9.081136474744853970e+00,1.982868568047114195e+02,3.077329620996667927e+02,3.079176518818916861e+02,3.078547719543900030e+02,3.079707477057871756e+02,3.078154352683347952e+02,3.071988340853254726e+02
9.081920275917086727e+00,1.982714436377815730e+02,3.076807221985724254e+02,3.079523173513790653e+02,3.078603825402715302e+02,3.079741749732702374e+02,3.078536543671672803e+02,3.071680131158844347e+02
9.082060942895525457e+00,1.983221856739742179e+02,3.077018556239432883e+02,3.079148784774396859e+02,3.078238860158784291e+02,3.079819885470853364e+02,3.078317597903919136e+02,3.071350141924636432e+02
9.081793914055099393e+00,1.982728777257058255e+02,3.077369568034358736e+02,3.079632917598833615e+02,3.078102562201328283e+02,3.079609308196223765e+02,3.078490642129258958e+02,3.071364381475970617e+02
9.081790933822505352e+00,1.982778427932074976e+02,3.077500286996398700e+02,3.079450235301284238e+02,3.078212401653814823e+02,3.079654738861887608e+02,3.078471216973211426e+02,3.071551712936367267e+02
9.082089553128428250e+00,1.983318964638586408e+02,3.077372303887880207e+02,3.079431221417333973e+02,3.078119519724788802e+02,3.079509530008975275e+02,3.078480962333794082e+02,3.071691587172936124e+02
9.082136044756895288e+00,1.983132259027034934e+02,3.077189615629865784e+02,3.079495159327406668e+02,3.078434387258814695e+02,3.079642853694302289e+02,3.078347942632191234e+02,3.071327080884823886e+02
9.081118593349289725e+00,1.982643852549058465e+02,3.077227548030322168e+02,3.079553804344392347e+02,3.078119674696883408e+02,3.079805943942778299e+02,3.078272512945236485e+02,3.071865215523864663e+02
9.081157336373012257e+00,1.982803825474241535e+02,3.077457419330766015e+02,3.079405281472835441e+02,3.078077677259168468e+02,3.079932615748955413e+02,3.078285310063995439e+02,3.071857294065629276e+02
9.081883321032920620e+00,1.983000532746378326e+02,3.077311817087151553e+02,3.079171655079323955e+02,3.078426376393601913e+02,3.079720268216165096e+02,3.078433314375080272e+02,3.071802028632405950e+02
9.080926070323714683e+00,1.982403425264766952e+02,3.077251187235258385e+02,3.079502168834468421e+02,3.078136971966859505e+02,3.079698202574039101e+02,3.078537849013548566e+02,3.071575495192467997e+02
9.082428107551111296e+00,1.982766542764489941e+02,3.077306953347558078e+02,3.079406998086810177e+02,3.078259060175306558e+02,3.079713574613758738e+02,3.078387776421043327e+02,3.071212449218326128e+02
9.082094917547097523e+00,1.982743249266534917e+02,3.077013233544020068e+02,3.079263929040899939e+02,3.078411296416675214e+02,3.079716453518444723e+02,3.078204891467677840e+02,3.071245309262908449e+02
9.082701692903244250e+00,1.982363406701493886e+02,3.077347645443396686e+02,3.079076573738643106e+02,3.078326335945884580e+02,3.079791173910042517e+02,3.078379533097688068e+02,3.071686109505428135e+02
9.081270585211585811e+00,1.982731936303607938e+02,3.077540549938744334e+02,3.079116318120517235e+02,3.078078672656854451e+02,3.079813024975421740e+02,3.078312406338740175e+02,3.071830847481589899e+02
9.080660233576326235e+00,1.982617018534781721e+02,3.076874849423747946e+02,3.079373226091054221e+02,3.078204140449063857e+02,3.079722437825493557e+02,3.078301099336278526e+02,3.071593048762446188e+02
9.079576024958614155e+00,1.982658825237610927e+02,3.077143141882793884e+02,3.079223821070650047e+02,3.078301754987448930e+02,3.079729477134880540e+02,3.078123543038790331e+02,3.071591040085678515e+02
9.081565628238395860e+00,1.983020857932669969e+02,3.076955148810761784e+02,3.079366556330508615e+02,3.078151724118199581e+02,3.079833719710554760e+02,3.078237173347135922e+02,3.071472426828435118e+02
